,agent_id,reliability,total_payoff
0,0.0,0.23544714024058455,-207.0
1,1.0,1.002231219401107,-180.0
2,2.0,0.4650003478533482,-201.0
3,3.0,0.5320874662110525,-192.0
4,4.0,0.7964831065684154,-195.0
5,5.0,0.5016009260492784,-183.0
6,6.0,0.5486096746738892,-177.0
7,7.0,0.6386299886388012,-174.0
8,8.0,0.28715972095480186,-177.0
9,9.0,0.3954538286723283,-162.0
10,10.0,0.3717783177281168,-192.0
11,11.0,0.39230897632998374,-162.0
12,12.0,0.014304059286092297,-201.0
13,13.0,0.8311957595495083,-156.0
14,14.0,0.6204885258714704,-174.0
15,15.0,0.9906568279521127,-135.0
16,16.0,0.6323314446801727,-207.0
17,17.0,0.27086121961655646,-186.0
18,18.0,0.22942824651671184,-189.0
19,19.0,0.5703603394486852,-204.0
20,20.0,0.3315790589083493,-174.0
21,21.0,0.09078277385157946,-213.0
22,22.0,0.2939194588394615,-195.0
23,23.0,0.6816495010270546,-219.0
24,24.0,0.9847831036743978,-171.0
25,25.0,0.5232513997498439,-183.0
26,26.0,0.6193457683365339,-186.0
27,27.0,0.5054237811735982,-186.0
28,28.0,0.32909940849469954,-183.0
29,29.0,0.5533263387796862,-198.0
30,30.0,0.4193560557563711,-165.0
31,31.0,0.425747828956141,-198.0
32,32.0,0.11072687427694217,-156.0
33,33.0,0.1466950196501094,-138.0
34,34.0,0.5648178047165439,-168.0
35,35.0,0.5208683384333362,-168.0
36,36.0,0.6735732481647992,-168.0
37,37.0,0.11136143179877678,-204.0
38,38.0,0.672756736495209,-147.0
39,39.0,0.442752924289846,-144.0
40,40.0,0.522721555688402,-171.0
41,41.0,0.015434496191862657,-210.0
42,42.0,0.685538941224569,-156.0
43,43.0,0.12557195684134936,-201.0
44,44.0,0.44412116642251254,-189.0
45,45.0,0.7230714625730257,-201.0
46,46.0,0.7462269261422291,-126.0
47,47.0,0.40306085656176494,-177.0
48,48.0,0.5428434308885759,-210.0
49,49.0,0.4605101167280834,-153.0
50,50.0,0.879206528104624,-165.0
51,51.0,0.4812881819862739,-237.0
52,52.0,0.5283214606564495,-144.0
53,53.0,-0.01977602062627437,-156.0
54,54.0,0.38083445815883155,-168.0
55,55.0,0.502122617065078,-192.0
56,56.0,0.2256259386215499,-171.0
57,57.0,0.020412007715674474,-201.0
58,58.0,0.6119235461318706,-192.0
59,59.0,0.6948266076103015,-165.0
60,60.0,0.6123215626889564,-180.0
61,61.0,0.4887155455246857,-174.0
62,62.0,0.5815692125223654,-210.0
63,63.0,0.7627321929355653,-144.0
64,64.0,0.8890641952704688,-192.0
65,65.0,0.4673296078223543,-180.0
66,66.0,-0.0055170004766030845,-162.0
67,67.0,0.6225552853287784,-180.0
68,68.0,0.6548482504555108,-207.0
69,69.0,0.10228011958402361,-147.0
70,70.0,1.0863767588663924,-144.0
71,71.0,0.864628629818551,-189.0
72,72.0,0.6732912011822982,-168.0
73,73.0,0.5764958622630505,-150.0
74,74.0,0.5608793882552889,-165.0
75,75.0,0.6059245165458164,-156.0
76,76.0,-0.0062521807317400535,-201.0
77,77.0,0.4737524596384683,-144.0
78,78.0,0.3858132087420474,-183.0
79,79.0,0.2196039042769642,-222.0
80,80.0,0.7732169995081568,-216.0
81,81.0,0.5840777705810287,-117.0
82,82.0,0.21394320869509154,-159.0
83,83.0,0.5068317840168708,-153.0
84,84.0,0.671786535258911,-219.0
85,85.0,0.7392949038797125,-195.0
86,86.0,0.16144801385803892,-180.0
87,87.0,0.6468223315298497,-231.0
88,88.0,-0.09496707065194976,-171.0
89,89.0,0.5121485806082013,-186.0
90,90.0,-0.08733290336328636,-228.0
91,91.0,0.5260905663594522,-147.0
92,92.0,0.5470442816317984,-171.0
93,93.0,0.42650375790966055,-189.0
94,94.0,0.45592685620819057,-174.0
95,95.0,0.8520727735412613,-189.0
96,96.0,0.4605116368395091,-126.0
97,97.0,0.5008190153760103,-198.0
98,98.0,0.8677162768758073,-204.0
99,99.0,0.03730977107900635,-246.0
